DATE,Arrivals,Departures,Total
Today,"88,437","99,543","187,980"
14/12/16,"93,395","110,565","203,959"
15/12/16,"99,885","119,212","219,097"
16/12/16,"107,924","127,079","235,003"
17/12/16,"101,400","120,718","222,118"
18/12/16,"101,991","120,048","222,040"
19/12/16,"97,602","116,186","213,788"
20/12/16,"96,142","113,845","209,987"
21/12/16,"95,549","115,065","210,614"
22/12/16,"94,819","110,242","205,061"
23/12/16,"104,719","118,393","223,112"
24/12/16,"84,306","90,220","174,526"
25/12/16,"50,230","63,755","113,985"
26/12/16,"81,254","91,080","172,335"
